host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgdace8fde600c664d2,3,'2025-06-25 09:57:16.730',137,160,99,492,113,163,'2025-06-25 09:57:17.717',987,'2025-06-25 09:57:17.738',1008,yes,yes,yes
52.83.211.74,lzgdb2b3e56a97158f05,1,'2025-06-25 09:57:11.849',131,164,100,491,107,157,'2025-06-25 09:57:12.994',1145,'2025-06-25 09:57:13.014',1165,yes,yes,yes
52.83.211.74,lzgdb2b3e56a97158f05,2,'2025-06-25 09:57:11.948',160,185,99,352,108,158,'2025-06-25 09:57:13.034',1086,'2025-06-25 09:57:13.054',1106,yes,yes,yes
52.83.211.74,lzgdb2b3e56a97158f05,3,'2025-06-25 09:57:12.048',139,185,99,428,129,180,'2025-06-25 09:57:13.034',986,'2025-06-25 09:57:13.054',1006,yes,yes,yes
52.83.211.74,lzgdb319aabff61093cc,1,'2025-06-25 09:57:05.496',135,148,99,522,139,189,'2025-06-25 09:57:06.736',1240,'2025-06-25 09:57:06.776',1280,yes,yes,yes
52.83.211.74,lzgdb319aabff61093cc,2,'2025-06-25 09:57:05.591',148,189,99,455,113,164,'2025-06-25 09:57:06.736',1145,'2025-06-25 09:57:06.776',1185,yes,yes,yes
52.83.211.74,lzgdb319aabff61093cc,3,'2025-06-25 09:57:05.691',177,149,99,336,117,167,'2025-06-25 09:57:06.716',1025,'2025-06-25 09:57:06.736',1045,yes,yes,yes
52.83.211.74,lzgdb33762629e1dbf00,1,'2025-06-25 09:56:54.691',170,163,99,474,112,162,'2025-06-25 09:56:55.831',1140,'2025-06-25 09:56:55.851',1160,yes,yes,yes
52.83.211.74,lzgdb33762629e1dbf00,2,'2025-06-25 09:56:54.789',132,168,99,413,113,164,'2025-06-25 09:56:55.851',1062,'2025-06-25 09:56:55.891',1102,yes,yes,yes
52.83.211.74,lzgdb33762629e1dbf00,3,'2025-06-25 09:56:54.888',133,167,99,444,128,179,'2025-06-25 09:56:55.851',963,'2025-06-25 09:56:55.891',1003,yes,yes,yes
52.83.211.74,lzgdb37c905b4b1ff56f,1,'2025-06-25 09:57:10.065',166,167,99,406,115,166,'2025-06-25 09:57:11.204',1139,'2025-06-25 09:57:11.244',1179,yes,yes,yes
52.83.211.74,lzgdb37c905b4b1ff56f,2,'2025-06-25 09:57:10.161',154,143,100,377,150,201,'2025-06-25 09:57:11.264',1103,'2025-06-25 09:57:11.284',1123,yes,yes,yes
52.83.211.74,lzgdb37c905b4b1ff56f,3,'2025-06-25 09:57:10.259',153,158,99,412,113,163,'2025-06-25 09:57:11.184',925,'2025-06-25 09:57:11.204',945,yes,yes,yes
52.83.211.74,lzgdb8da9aaffa969c7e,1,'2025-06-25 09:57:01.234',143,158,99,466,120,171,'2025-06-25 09:57:02.353',1119,'2025-06-25 09:57:02.373',1139,yes,yes,yes
52.83.211.74,lzgdb8da9aaffa969c7e,2,'2025-06-25 09:57:01.332',131,143,99,415,146,196,'2025-06-25 09:57:02.414',1082,'2025-06-25 09:57:02.453',1121,yes,yes,yes
52.83.211.74,lzgdb8da9aaffa969c7e,3,'2025-06-25 09:57:01.431',140,159,99,436,112,163,'2025-06-25 09:57:02.373',942,'2025-06-25 09:57:02.413',982,yes,yes,yes
52.83.211.74,lzgdb9198f3ec7950e73,1,'2025-06-25 09:57:16.824',133,142,99,423,115,166,'2025-06-25 09:57:17.883',1059,'2025-06-25 09:57:17.903',1079,yes,yes,yes
52.83.211.74,lzgdb9198f3ec7950e73,2,'2025-06-25 09:57:16.926',163,143,99,305,106,157,'2025-06-25 09:57:17.904',978,'2025-06-25 09:57:17.943',1017,yes,yes,yes
52.83.211.74,lzgdb9198f3ec7950e73,3,'2025-06-25 09:57:17.023',151,165,99,332,132,182,'2025-06-25 09:57:17.904',881,'2025-06-25 09:57:17.943',920,yes,yes,yes
52.83.211.74,lzgdb969f47b2309bba0,1,'2025-06-25 09:56:58.548',154,156,99,465,127,178,'2025-06-25 09:56:59.706',1158,'2025-06-25 09:56:59.726',1178,yes,yes,yes
52.83.211.74,lzgdb969f47b2309bba0,2,'2025-06-25 09:56:58.647',149,144,100,430,119,169,'2025-06-25 09:56:59.726',1079,'2025-06-25 09:56:59.766',1119,yes,yes,yes
52.83.211.74,lzgdb969f47b2309bba0,3,'2025-06-25 09:56:58.746',143,157,99,452,130,180,'2025-06-25 09:56:59.726',980,'2025-06-25 09:56:59.766',1020,yes,yes,yes
52.83.211.74,lzgdbc705818362a17b3,1,'2025-06-25 09:57:18.030',139,157,100,407,102,152,'2025-06-25 09:57:19.098',1068,'2025-06-25 09:57:19.118',1088,yes,yes,yes
