host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-24 12:24:54.808',161,175,100,541,122,172,'2025-06-24 12:24:56.133',1325,'2025-06-24 12:24:56.167',1359,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-24 12:24:54.812',151,176,99,523,117,167,'2025-06-24 12:24:56.134',1322,'2025-06-24 12:24:56.167',1355,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-24 12:24:54.912',133,168,99,536,132,182,'2025-06-24 12:24:56.174',1262,'2025-06-24 12:24:56.207',1295,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-24 12:24:54.893',156,205,99,28284,133,183,'2025-06-24 12:25:23.976',29083,'2025-06-24 12:25:24.007',29114,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-24 12:24:55.870',181,165,99,457,130,180,'2025-06-24 12:24:57.087',1217,'2025-06-24 12:24:57.131',1261,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-24 12:24:55.899',161,159,99,463,130,180,'2025-06-24 12:24:57.066',1167,'2025-06-24 12:24:57.090',1191,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-24 12:24:55.900',144,150,99,488,113,163,'2025-06-24 12:24:57.087',1187,'2025-06-24 12:24:57.131',1231,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-24 12:24:55.932',152,195,99,443,106,157,'2025-06-24 12:24:57.087',1155,'2025-06-24 12:24:57.131',1199,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,1,'2025-06-24 12:24:55.620',134,154,99,535,145,195,'2025-06-24 12:24:56.875',1255,'2025-06-24 12:24:56.920',1300,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,2,'2025-06-24 12:24:55.659',135,158,99,516,127,177,'2025-06-24 12:24:56.855',1196,'2025-06-24 12:24:56.880',1221,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,3,'2025-06-24 12:24:55.650',156,163,99,28023,131,181,'2025-06-24 12:25:24.420',28770,'2025-06-24 12:25:24.440',28790,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,4,'2025-06-24 12:24:55.696',146,206,99,432,146,196,'2025-06-24 12:24:56.915',1219,'2025-06-24 12:24:56.960',1264,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,1,'2025-06-24 12:24:55.543',143,168,99,26783,127,178,'2025-06-24 12:25:23.052',27509,'2025-06-24 12:25:23.059',27516,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,2,'2025-06-24 12:24:55.539',135,181,99,459,140,191,'2025-06-24 12:24:56.761',1222,'2025-06-24 12:24:56.818',1279,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,3,'2025-06-24 12:24:55.552',173,185,99,463,146,196,'2025-06-24 12:24:56.781',1229,'2025-06-24 12:24:56.818',1266,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,4,'2025-06-24 12:24:55.608',155,5570,99,146,122,173,'2025-06-24 12:25:01.865',6257,'2025-06-24 12:25:01.898',6290,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,1,'2025-06-24 12:24:53.995',165,186,101,579,125,175,'2025-06-24 12:24:55.159',1164,'2025-06-24 12:24:55.193',1198,yes,no,yes
52.83.211.74,lzgd248a705ea1365e60,2,'2025-06-24 12:24:54.028',183,207,100,27944,128,179,'2025-06-24 12:25:22.583',28555,'2025-06-24 12:25:22.633',28605,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,3,'2025-06-24 12:24:54.018',160,193,100,576,150,200,'2025-06-24 12:24:55.199',1181,'2025-06-24 12:24:55.233',1215,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,4,'2025-06-24 12:24:54.033',177,5545,99,129,135,185,'2025-06-24 12:25:00.103',6070,'2025-06-24 12:25:00.153',6120,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,1,'2025-06-24 12:24:55.336',180,166,99,527,133,183,'2025-06-24 12:24:56.620',1284,'2025-06-24 12:24:56.648',1312,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,2,'2025-06-24 12:24:55.380',159,177,99,529,144,194,'2025-06-24 12:24:56.661',1281,'2025-06-24 12:24:56.688',1308,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,3,'2025-06-24 12:24:55.356',165,183,99,517,104,155,'2025-06-24 12:24:56.600',1244,'2025-06-24 12:24:56.648',1292,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,4,'2025-06-24 12:24:55.387',143,156,100,498,121,171,'2025-06-24 12:24:56.600',1213,'2025-06-24 12:24:56.648',1261,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,1,'2025-06-24 12:24:55.477',146,5611,99,160,120,171,'2025-06-24 12:25:01.782',6305,'2025-06-24 12:25:01.801',6324,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,2,'2025-06-24 12:24:55.492',156,170,100,537,134,185,'2025-06-24 12:24:56.755',1263,'2025-06-24 12:24:56.801',1309,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,3,'2025-06-24 12:24:55.517',170,166,99,500,117,167,'2025-06-24 12:24:56.735',1218,'2025-06-24 12:24:56.761',1244,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,4,'2025-06-24 12:24:55.522',145,157,99,542,113,163,'2025-06-24 12:24:56.735',1213,'2025-06-24 12:24:56.761',1239,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,1,'2025-06-24 12:24:53.736',173,162,100,691,143,193,'2025-06-24 12:24:55.019',1283,'2025-06-24 12:24:55.050',1314,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,2,'2025-06-24 12:24:53.773',341,171,100,527,127,177,'2025-06-24 12:24:55.039',1266,'2025-06-24 12:24:55.090',1317,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,3,'2025-06-24 12:24:53.767',162,252,99,578,122,173,'2025-06-24 12:24:54.999',1232,'2025-06-24 12:24:55.010',1243,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,4,'2025-06-24 12:24:53.755',184,280,100,27778,128,179,'2025-06-24 12:25:22.239',28484,'2025-06-24 12:25:22.250',28495,yes,yes,yes
52.83.211.74,lzgd60622774ad88ca9c,1,'2025-06-24 12:24:54.520',159,200,100,27963,114,165,'2025-06-24 12:25:23.053',28533,'2025-06-24 12:25:23.092',28572,yes,yes,yes
52.83.211.74,lzgd60622774ad88ca9c,2,'2025-06-24 12:24:54.577',184,168,100,28563,132,182,'2025-06-24 12:25:23.757',29180,'2025-06-24 12:25:23.772',29195,yes,yes,yes
