host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd5496a7907243e22d,1,'2025-06-12 07:19:20.090',217,241,99,17909,124,174,'2025-06-12 07:19:38.699',18609,'2025-06-12 07:19:38.738',18648,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,2,'2025-06-12 07:19:20.113',257,225,99,28910,105,156,'2025-06-12 07:19:49.714',29601,'2025-06-12 07:19:49.738',29625,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,3,'2025-06-12 07:19:20.101',187,189,99,523,149,199,'2025-06-12 07:19:21.341',1240,'2025-06-12 07:19:21.378',1277,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,4,'2025-06-12 07:19:20.105',174,316,99,27968,112,162,'2025-06-12 07:19:48.769',28664,'2025-06-12 07:19:48.778',28673,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,5,'2025-06-12 07:19:20.118',215,5548,99,155,124,175,'2025-06-12 07:19:26.263',6145,'2025-06-12 07:19:26.298',6180,yes,yes,yes
52.83.211.74,lzgd73052d21279230f4,1,'2025-06-12 07:19:20.028',229,261,99,27466,125,175,'2025-06-12 07:19:48.271',28243,'2025-06-12 07:19:48.273',28245,yes,yes,yes
52.83.211.74,lzgd73052d21279230f4,2,'2025-06-12 07:19:20.079',223,188,99,554,142,192,'2025-06-12 07:19:21.361',1282,'2025-06-12 07:19:21.392',1313,yes,yes,yes
52.83.211.74,lzgd73052d21279230f4,3,'2025-06-12 07:19:20.074',246,258,99,27654,115,165,'2025-06-12 07:19:48.452',28378,'2025-06-12 07:19:48.473',28399,yes,yes,yes
52.83.211.74,lzgd73052d21279230f4,4,'2025-06-12 07:19:20.063',159,172,99,566,107,157,'2025-06-12 07:19:21.341',1278,'2025-06-12 07:19:21.392',1329,yes,yes,yes
