channel,start_time,ready_time,streaming_time,setup_duration(s),setup_status,stream_status
lzgd5496a7907243e22d,'2025-06-12 06:55:42.383','2025-06-12 06:55:43.391','2025-06-12 06:56:01.803',1.008,✅ Setup OK,✅ Stream OK
lzgd73052d21279230f4,'2025-06-12 06:55:42.402','2025-06-12 06:55:43.374','2025-06-12 06:56:01.777',.972,✅ Setup OK,✅ Stream OK
