host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgdb969f47b2309bba0,2,'2025-06-25 11:37:32.318',169,206,99,352,127,177,'2025-06-25 11:37:33.261',943,'2025-06-25 11:37:33.286',968,yes,yes,yes
52.83.211.74,lzgdb969f47b2309bba0,3,'2025-06-25 11:37:32.416',170,161,99,321,107,157,'2025-06-25 11:37:33.262',846,'2025-06-25 11:37:33.286',870,yes,yes,yes
52.83.211.74,lzgdb969f47b2309bba0,4,'2025-06-25 11:37:32.514',147,147,99,249,117,167,'2025-06-25 11:37:33.262',748,'2025-06-25 11:37:33.286',772,yes,yes,yes
52.83.211.74,lzgdbc705818362a17b3,1,'2025-06-25 11:37:57.879',144,157,100,550,145,195,'2025-06-25 11:37:59.125',1246,'2025-06-25 11:37:59.159',1280,yes,yes,yes
52.83.211.74,lzgdbc705818362a17b3,2,'2025-06-25 11:37:58.002',161,153,99,294,122,172,'2025-06-25 11:37:59.105',1103,'2025-06-25 11:37:59.159',1157,yes,yes,yes
52.83.211.74,lzgdbc705818362a17b3,3,'2025-06-25 11:37:58.089',173,168,101,459,108,159,'2025-06-25 11:37:59.105',1016,'2025-06-25 11:37:59.119',1030,yes,yes,yes
52.83.211.74,lzgdbc705818362a17b3,4,'2025-06-25 11:37:58.189',130,170,100,305,120,171,'2025-06-25 11:37:59.105',916,'2025-06-25 11:37:59.118',929,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,1,'2025-06-25 11:37:30.640',154,150,99,485,129,180,'2025-06-25 11:37:31.648',1008,'2025-06-25 11:37:31.680',1040,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,2,'2025-06-25 11:37:30.739',150,146,99,397,128,178,'2025-06-25 11:37:31.648',909,'2025-06-25 11:37:31.680',941,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,3,'2025-06-25 11:37:30.838',170,155,99,276,121,172,'2025-06-25 11:37:31.648',810,'2025-06-25 11:37:31.681',843,yes,yes,yes
52.83.211.74,lzgdbe1eae95a564cc8b,4,'2025-06-25 11:37:30.936',141,165,99,212,111,161,'2025-06-25 11:37:31.648',712,'2025-06-25 11:37:31.680',744,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,1,'2025-06-25 11:37:35.299',154,146,99,505,134,184,'2025-06-25 11:37:36.493',1194,'2025-06-25 11:37:36.536',1237,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,2,'2025-06-25 11:37:35.398',137,163,99,424,111,161,'2025-06-25 11:37:36.473',1075,'2025-06-25 11:37:36.496',1098,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,3,'2025-06-25 11:37:35.497',151,175,99,435,128,178,'2025-06-25 11:37:36.473',976,'2025-06-25 11:37:36.496',999,yes,yes,yes
52.83.211.74,lzgdc364318695ef034e,4,'2025-06-25 11:37:35.597',148,160,99,369,115,166,'2025-06-25 11:37:36.493',896,'2025-06-25 11:37:36.496',899,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,1,'2025-06-25 11:37:53.220',148,172,100,529,145,196,'2025-06-25 11:37:54.306',1086,'2025-06-25 11:37:54.332',1112,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,2,'2025-06-25 11:37:53.317',149,187,99,421,131,182,'2025-06-25 11:37:54.306',989,'2025-06-25 11:37:54.332',1015,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,3,'2025-06-25 11:37:53.418',133,158,99,394,153,203,'2025-06-25 11:37:54.366',948,'2025-06-25 11:37:54.372',954,yes,yes,yes
52.83.211.74,lzgdc8d027a37adf777e,4,'2025-06-25 11:37:53.521',138,174,99,291,137,187,'2025-06-25 11:37:54.367',846,'2025-06-25 11:37:54.372',851,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,1,'2025-06-25 11:37:31.035',138,165,99,495,121,171,'2025-06-25 11:37:32.268',1233,'2025-06-25 11:37:32.293',1258,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,2,'2025-06-25 11:37:31.133',170,155,99,438,108,158,'2025-06-25 11:37:32.268',1135,'2025-06-25 11:37:32.293',1160,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,3,'2025-06-25 11:37:31.233',160,157,100,372,105,155,'2025-06-25 11:37:32.268',1035,'2025-06-25 11:37:32.293',1060,yes,yes,yes
52.83.211.74,lzgdd364e75a1362cd9c,4,'2025-06-25 11:37:31.332',138,177,99,400,121,171,'2025-06-25 11:37:32.268',936,'2025-06-25 11:37:32.293',961,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,1,'2025-06-25 11:37:26.350',134,169,99,415,112,162,'2025-06-25 11:37:27.279',929,'2025-06-25 11:37:27.300',950,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,2,'2025-06-25 11:37:26.449',138,187,99,282,128,179,'2025-06-25 11:37:27.279',830,'2025-06-25 11:37:27.300',851,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,3,'2025-06-25 11:37:26.547',154,187,99,185,112,162,'2025-06-25 11:37:27.279',732,'2025-06-25 11:37:27.300',753,yes,yes,yes
52.83.211.74,lzgdd856ff4baf7882ed,4,'2025-06-25 11:37:26.645',153,159,99,135,134,185,'2025-06-25 11:37:27.320',675,'2025-06-25 11:37:27.340',695,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,1,'2025-06-25 11:37:46.723',127,216,100,471,113,163,'2025-06-25 11:37:47.935',1212,'2025-06-25 11:37:47.969',1246,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,2,'2025-06-25 11:37:46.821',140,149,100,457,109,160,'2025-06-25 11:37:47.956',1135,'2025-06-25 11:37:47.969',1148,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,3,'2025-06-25 11:37:46.921',152,180,99,461,117,168,'2025-06-25 11:37:47.935',1014,'2025-06-25 11:37:47.969',1048,yes,yes,yes
52.83.211.74,lzgddd8e6c8fc1ec0b39,4,'2025-06-25 11:37:47.021',145,174,99,401,113,163,'2025-06-25 11:37:47.955',934,'2025-06-25 11:37:47.969',948,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,1,'2025-06-25 11:37:28.315',155,168,99,564,119,169,'2025-06-25 11:37:29.415',1100,'2025-06-25 11:37:29.426',1111,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,2,'2025-06-25 11:37:28.414',169,169,99,434,136,186,'2025-06-25 11:37:29.415',1001,'2025-06-25 11:37:29.426',1012,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,3,'2025-06-25 11:37:28.512',136,169,99,410,148,198,'2025-06-25 11:37:29.476',964,'2025-06-25 11:37:29.506',994,yes,yes,yes
52.83.211.74,lzgdddc97fa5598d6b2d,4,'2025-06-25 11:37:28.610',147,152,99,303,115,165,'2025-06-25 11:37:29.415',805,'2025-06-25 11:37:29.466',856,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,1,'2025-06-25 11:37:33.718',149,162,99,466,112,163,'2025-06-25 11:37:34.841',1123,'2025-06-25 11:37:34.858',1140,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,2,'2025-06-25 11:37:33.816',149,151,100,380,101,152,'2025-06-25 11:37:34.861',1045,'2025-06-25 11:37:34.899',1083,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,3,'2025-06-25 11:37:33.914',150,177,100,411,105,155,'2025-06-25 11:37:34.861',947,'2025-06-25 11:37:34.901',987,yes,yes,yes
52.83.211.74,lzgde0db7ce2073c125e,4,'2025-06-25 11:37:34.014',153,164,99,332,102,152,'2025-06-25 11:37:34.861',847,'2025-06-25 11:37:34.899',885,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,1,'2025-06-25 11:37:29.065',143,178,99,426,110,160,'2025-06-25 11:37:30.008',943,'2025-06-25 11:37:30.037',972,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,2,'2025-06-25 11:37:29.164',151,163,99,333,123,174,'2025-06-25 11:37:30.028',864,'2025-06-25 11:37:30.037',873,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,3,'2025-06-25 11:37:29.262',163,159,99,234,119,169,'2025-06-25 11:37:30.029',767,'2025-06-25 11:37:30.077',815,yes,yes,yes
52.83.211.74,lzgde1b910557126d1bc,4,'2025-06-25 11:37:29.359',139,156,99,167,116,167,'2025-06-25 11:37:30.029',670,'2025-06-25 11:37:30.077',718,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,1,'2025-06-25 11:37:27.923',151,166,99,548,140,190,'2025-06-25 11:37:29.025',1102,'2025-06-25 11:37:29.054',1131,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,2,'2025-06-25 11:37:28.020',166,165,99,444,120,170,'2025-06-25 11:37:29.005',985,'2025-06-25 11:37:29.054',1034,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,3,'2025-06-25 11:37:28.118',162,171,99,357,112,162,'2025-06-25 11:37:29.005',887,'2025-06-25 11:37:29.054',936,yes,yes,yes
52.83.211.74,lzgde22f5a5c0f334760,4,'2025-06-25 11:37:28.217',135,166,99,310,141,191,'2025-06-25 11:37:29.065',848,'2025-06-25 11:37:29.094',877,yes,yes,yes
52.83.211.74,lzgde41cd2c8347571fc,1,'2025-06-25 11:37:30.247',147,177,99,563,128,178,'2025-06-25 11:37:31.358',1111,'2025-06-25 11:37:31.385',1138,yes,yes,yes
