host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-24 11:27:35.625',141,187,99,544,118,168,'2025-06-24 11:27:36.885',1260,'2025-06-24 11:27:36.888',1263,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-24 11:27:35.635',158,152,100,531,103,153,'2025-06-24 11:27:36.865',1230,'2025-06-24 11:27:36.887',1252,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-24 11:27:35.665',158,175,100,525,108,159,'2025-06-24 11:27:36.925',1260,'2025-06-24 11:27:36.968',1303,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-24 11:27:35.667',144,181,99,544,132,183,'2025-06-24 11:27:36.925',1258,'2025-06-24 11:27:36.968',1301,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,5,'2025-06-24 11:27:35.725',163,5535,99,0,0,0,'',,'',,no,no,no
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-24 11:27:36.933',164,154,99,415,114,164,'2025-06-24 11:27:38.121',1188,'2025-06-24 11:27:38.131',1198,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-24 11:27:36.886',134,5599,100,0,0,0,'',,'',,no,no,no
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-24 11:27:36.947',178,143,99,480,112,162,'2025-06-24 11:27:38.101',1154,'2025-06-24 11:27:38.131',1184,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-24 11:27:37.020',142,166,100,417,150,200,'2025-06-24 11:27:38.162',1142,'2025-06-24 11:27:38.211',1191,yes,no,yes
52.83.211.74,lzgd02fd0916320be5ec,5,'2025-06-24 11:27:37.038',161,190,99,26558,112,163,'2025-06-24 11:28:04.348',27310,'2025-06-24 11:28:04.371',27333,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,1,'2025-06-24 11:27:40.593',159,175,100,879,146,197,'2025-06-24 11:27:42.274',1681,'2025-06-24 11:27:42.298',1705,yes,yes,no
52.83.211.74,lzgd08e4bc11b44d5d2d,2,'2025-06-24 11:27:40.651',159,167,99,0,0,0,'',,'',,no,no,no
52.83.211.74,lzgd08e4bc11b44d5d2d,3,'2025-06-24 11:27:40.636',153,198,99,0,0,0,'',,'',,no,no,no
52.83.211.74,lzgd08e4bc11b44d5d2d,4,'2025-06-24 11:27:40.649',144,171,100,864,118,168,'2025-06-24 11:27:42.254',1605,'2025-06-24 11:27:42.258',1609,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,5,'2025-06-24 11:27:40.664',129,166,99,0,0,0,'',,'',,no,no,no
52.83.211.74,lzgd10eb690a12b4d19e,1,'2025-06-24 11:27:37.507',167,165,100,411,109,159,'2025-06-24 11:27:38.627',1120,'2025-06-24 11:27:38.655',1148,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,2,'2025-06-24 11:27:37.536',158,146,100,351,151,202,'2025-06-24 11:27:38.687',1151,'2025-06-24 11:27:38.695',1159,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,3,'2025-06-24 11:27:37.562',143,160,99,374,111,161,'2025-06-24 11:27:38.627',1065,'2025-06-24 11:27:38.655',1093,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,4,'2025-06-24 11:27:37.569',144,191,100,27616,108,159,'2025-06-24 11:28:05.931',28362,'2025-06-24 11:28:05.935',28366,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,5,'2025-06-24 11:27:37.586',153,166,99,360,130,180,'2025-06-24 11:27:38.687',1101,'2025-06-24 11:27:38.695',1109,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,1,'2025-06-24 11:27:40.080',153,164,99,423,123,173,'2025-06-24 11:27:41.229',1149,'2025-06-24 11:27:41.260',1180,yes,no,yes
52.83.211.74,lzgd11fed05efd7c2acc,2,'2025-06-24 11:27:40.129',159,187,99,403,141,192,'2025-06-24 11:27:41.269',1140,'2025-06-24 11:27:41.301',1172,yes,no,yes
52.83.211.74,lzgd11fed05efd7c2acc,3,'2025-06-24 11:27:40.183',152,0,0,0,0,0,'',,'',,no,no,no
