host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd2ad7456ef4fcba4f,1,'2025-06-26 03:09:39.929',145,164,99,530,133,183,'2025-06-26 03:09:41.161',1232,'2025-06-26 03:09:41.201',1272,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,2,'2025-06-26 03:09:40.028',153,188,99,424,107,157,'2025-06-26 03:09:41.161',1133,'2025-06-26 03:09:41.201',1173,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,3,'2025-06-26 03:09:40.128',155,162,99,499,114,165,'2025-06-26 03:09:41.141',1013,'2025-06-26 03:09:41.161',1033,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,1,'2025-06-26 03:09:53.783',131,157,100,463,137,188,'2025-06-26 03:09:54.963',1180,'2025-06-26 03:09:55.002',1219,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,2,'2025-06-26 03:09:53.883',143,170,99,393,150,200,'2025-06-26 03:09:55.023',1140,'2025-06-26 03:09:55.042',1159,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,3,'2025-06-26 03:09:53.982',135,147,100,463,127,178,'2025-06-26 03:09:54.942',960,'2025-06-26 03:09:54.962',980,yes,no,yes
52.83.211.74,lzgd2cbd00e104249138,1,'2025-06-26 03:09:46.606',147,148,99,501,124,174,'2025-06-26 03:09:47.767',1161,'2025-06-26 03:09:47.807',1201,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,2,'2025-06-26 03:09:46.700',154,162,99,368,115,165,'2025-06-26 03:09:47.768',1068,'2025-06-26 03:09:47.808',1108,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,3,'2025-06-26 03:09:46.799',173,155,100,415,121,171,'2025-06-26 03:09:47.747',948,'2025-06-26 03:09:47.768',969,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,1,'2025-06-26 03:09:35.762',145,175,99,515,104,155,'2025-06-26 03:09:36.988',1226,'2025-06-26 03:09:37.008',1246,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,2,'2025-06-26 03:09:35.861',164,157,99,412,125,175,'2025-06-26 03:09:37.028',1167,'2025-06-26 03:09:37.048',1187,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,3,'2025-06-26 03:09:35.958',141,148,99,403,112,162,'2025-06-26 03:09:37.028',1070,'2025-06-26 03:09:37.048',1090,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,1,'2025-06-26 03:09:36.352',143,156,99,481,143,193,'2025-06-26 03:09:37.505',1153,'2025-06-26 03:09:37.545',1193,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,2,'2025-06-26 03:09:36.451',160,169,99,353,114,164,'2025-06-26 03:09:37.505',1054,'2025-06-26 03:09:37.545',1094,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,3,'2025-06-26 03:09:36.550',164,161,99,412,115,165,'2025-06-26 03:09:37.485',935,'2025-06-26 03:09:37.505',955,yes,yes,yes
52.83.211.74,lzgd3b4de3108b2a57d1,1,'2025-06-26 03:09:56.390',137,162,99,502,126,178,'2025-06-26 03:09:57.601',1211,'2025-06-26 03:09:57.641',1251,yes,yes,yes
52.83.211.74,lzgd3b4de3108b2a57d1,2,'2025-06-26 03:09:56.489',132,172,99,445,149,199,'2025-06-26 03:09:57.642',1153,'2025-06-26 03:09:57.681',1192,yes,yes,yes
52.83.211.74,lzgd3b4de3108b2a57d1,3,'2025-06-26 03:09:56.596',159,156,99,455,127,178,'2025-06-26 03:09:57.581',985,'2025-06-26 03:09:57.603',1007,yes,yes,yes
52.83.211.74,lzgd3cac95fa9d6edf90,1,'2025-06-26 03:09:40.820',140,173,99,445,138,189,'2025-06-26 03:09:41.945',1125,'2025-06-26 03:09:41.965',1145,yes,yes,yes
52.83.211.74,lzgd3cac95fa9d6edf90,2,'2025-06-26 03:09:40.917',133,144,99,399,123,173,'2025-06-26 03:09:41.965',1048,'2025-06-26 03:09:42.005',1088,yes,yes,yes
52.83.211.74,lzgd3cac95fa9d6edf90,3,'2025-06-26 03:09:41.018',137,153,99,420,134,185,'2025-06-26 03:09:41.965',947,'2025-06-26 03:09:42.005',987,yes,yes,yes
52.83.211.74,lzgd4782b152d37fabdf,1,'2025-06-26 03:09:52.583',172,156,99,532,102,153,'2025-06-26 03:09:53.792',1209,'2025-06-26 03:09:53.812',1229,yes,yes,yes
52.83.211.74,lzgd4782b152d37fabdf,2,'2025-06-26 03:09:52.679',132,186,99,456,110,161,'2025-06-26 03:09:53.832',1153,'2025-06-26 03:09:53.852',1173,yes,yes,yes
52.83.211.74,lzgd4782b152d37fabdf,3,'2025-06-26 03:09:52.780',145,175,99,511,114,164,'2025-06-26 03:09:53.832',1052,'2025-06-26 03:09:53.852',1072,yes,yes,yes
52.83.211.74,lzgd47a3c029f3767795,1,'2025-06-26 03:09:43.555',138,159,99,511,151,202,'2025-06-26 03:09:44.773',1218,'2025-06-26 03:09:44.813',1258,yes,yes,yes
52.83.211.74,lzgd47a3c029f3767795,2,'2025-06-26 03:09:43.651',140,158,100,406,148,198,'2025-06-26 03:09:44.773',1122,'2025-06-26 03:09:44.813',1162,yes,yes,yes
52.83.211.74,lzgd47a3c029f3767795,3,'2025-06-26 03:09:43.749',138,176,99,456,108,158,'2025-06-26 03:09:44.713',964,'2025-06-26 03:09:44.733',984,yes,yes,yes
52.83.211.74,lzgd4f34ad441cbe809e,1,'2025-06-26 03:09:40.523',150,163,99,507,107,158,'2025-06-26 03:09:41.692',1169,'2025-06-26 03:09:41.712',1189,yes,yes,yes
52.83.211.74,lzgd4f34ad441cbe809e,2,'2025-06-26 03:09:40.624',138,163,99,442,137,187,'2025-06-26 03:09:41.772',1148,'2025-06-26 03:09:41.792',1168,yes,yes,yes
52.83.211.74,lzgd4f34ad441cbe809e,3,'2025-06-26 03:09:40.722',151,149,99,482,121,171,'2025-06-26 03:09:41.712',990,'2025-06-26 03:09:41.752',1030,yes,yes,yes
52.83.211.74,lzgd53c3bf4c1bcb3765,1,'2025-06-26 03:09:49.121',147,189,99,488,143,193,'2025-06-26 03:09:50.378',1257,'2025-06-26 03:09:50.417',1296,yes,yes,yes
52.83.211.74,lzgd53c3bf4c1bcb3765,2,'2025-06-26 03:09:49.223',133,170,99,451,104,155,'2025-06-26 03:09:50.378',1155,'2025-06-26 03:09:50.417',1194,yes,yes,yes
52.83.211.74,lzgd53c3bf4c1bcb3765,3,'2025-06-26 03:09:49.322',139,169,102,340,118,168,'2025-06-26 03:09:50.357',1035,'2025-06-26 03:09:50.377',1055,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,1,'2025-06-26 03:09:29.255',146,180,99,495,109,159,'2025-06-26 03:09:30.624',1369,'2025-06-26 03:09:30.645',1390,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,2,'2025-06-26 03:09:29.348',227,151,99,484,117,167,'2025-06-26 03:09:30.645',1297,'2025-06-26 03:09:30.685',1337,yes,yes,yes
52.83.211.74,lzgd5496a7907243e22d,3,'2025-06-26 03:09:29.446',207,184,99,468,144,194,'2025-06-26 03:09:30.705',1259,'2025-06-26 03:09:30.725',1279,yes,yes,yes
52.83.211.74,lzgd58b43ce4fbfb6103,1,'2025-06-26 03:10:01.803',143,173,99,474,162,213,'2025-06-26 03:10:03.065',1262,'2025-06-26 03:10:03.102',1299,yes,no,yes
52.83.211.74,lzgd58b43ce4fbfb6103,2,'2025-06-26 03:10:01.926',145,182,99,325,102,156,'2025-06-26 03:10:03.003',1077,'2025-06-26 03:10:03.023',1097,yes,no,yes
52.83.211.74,lzgd58b43ce4fbfb6103,3,'2025-06-26 03:10:02.033',158,152,100,438,153,204,'2025-06-26 03:10:03.065',1032,'2025-06-26 03:10:03.102',1069,yes,yes,yes
52.83.211.74,lzgd5d7bdc6242781982,1,'2025-06-26 03:09:43.848',136,163,100,465,101,152,'2025-06-26 03:09:44.958',1110,'2025-06-26 03:09:44.978',1130,yes,yes,yes
52.83.211.74,lzgd5d7bdc6242781982,2,'2025-06-26 03:09:43.949',135,168,99,341,124,174,'2025-06-26 03:09:44.999',1050,'2025-06-26 03:09:45.019',1070,yes,yes,yes
52.83.211.74,lzgd5d7bdc6242781982,3,'2025-06-26 03:09:44.047',152,158,99,414,126,176,'2025-06-26 03:09:44.999',952,'2025-06-26 03:09:45.018',971,yes,yes,yes
