host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-24 11:00:52.879',145,168,99,551,129,179,'2025-06-24 11:00:54.127',1248,'2025-06-24 11:00:54.167',1288,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-24 11:00:52.833',147,5557,100,179,105,155,'2025-06-24 11:00:59.093',6260,'2025-06-24 11:00:59.127',6294,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-24 11:00:52.883',129,183,99,28059,133,183,'2025-06-24 11:01:21.680',28797,'2025-06-24 11:01:21.687',28804,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-24 11:00:52.920',135,145,102,505,106,157,'2025-06-24 11:00:54.107',1187,'2025-06-24 11:00:54.127',1207,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,5,'2025-06-24 11:00:52.931',142,167,100,26764,124,174,'2025-06-24 11:01:20.391',27460,'2025-06-24 11:01:20.407',27476,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-24 11:00:54.125',129,166,100,401,103,153,'2025-06-24 11:00:55.211',1086,'2025-06-24 11:00:55.251',1126,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-24 11:00:54.105',136,152,99,456,103,153,'2025-06-24 11:00:55.191',1086,'2025-06-24 11:00:55.211',1106,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-24 11:00:54.204',168,168,99,28249,150,201,'2025-06-24 11:01:23.207',29003,'2025-06-24 11:01:23.251',29047,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-24 11:00:54.143',137,168,99,28210,128,178,'2025-06-24 11:01:23.046',28903,'2025-06-24 11:01:23.051',28908,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,5,'2025-06-24 11:00:54.176',166,148,100,343,101,152,'2025-06-24 11:00:55.211',1035,'2025-06-24 11:00:55.251',1075,yes,yes,yes
